dataset,model,accuracy,precision,recall,f1,roc_auc,cv_f1_score,val_f1_score,train_f1,val_f1,overfitting_gap,is_overfitting,best_params
german,Decision Tree,0.715,0.6954969634128279,0.715,0.6996371481808376,0.7000000000000001,0.5422748499237898,0.6894977168949771,0.7609854630948045,0.6894977168949771,0.07148774619982745,False,"{'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 20, 'classifier__max_features': None, 'classifier__max_depth': 5, 'classifier__criterion': 'entropy'}"
german,Logistic Regression,0.76,0.7482213438735178,0.76,0.7498652291105122,0.7778571428571428,0.4698323323323323,0.6557372617921341,0.7411322527601597,0.6557372617921341,0.08539499096802561,False,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__l1_ratio': 0.5, 'classifier__C': 1.0}"
german,Random Forest,0.755,0.7416873449131514,0.755,0.7274583022155838,0.7891666666666667,0.4518587016847886,0.6643761301989151,0.8548147694756009,0.6643761301989151,0.1904386392766858,True,"{'classifier__oob_score': True, 'classifier__n_estimators': 300, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10, 'classifier__bootstrap': True}"
german,XGBoost,0.75,0.74,0.75,0.7429467084639498,0.7803571428571429,0.5677735602583636,0.6894977168949771,0.8594657680962428,0.6894977168949771,0.16996805120126568,True,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 10, 'classifier__reg_alpha': 1, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 3, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 1.0}"
