dataset,model,accuracy,precision,recall,f1,roc_auc,cv_f1_score,val_f1_score,train_f1,val_f1,overfitting_gap,is_overfitting,best_params
german,Decision Tree,0.7133333333333334,0.6958924949290061,0.7133333333333334,0.7005097657368693,0.7016931216931217,0.49907511116753733,0.6233754090696587,0.8125894314045439,0.6233754090696587,0.18921402233488516,True,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 10, 'classifier__max_features': None, 'classifier__max_depth': 7, 'classifier__criterion': 'gini'}"
german,Logistic Regression,0.7866666666666666,0.777888198757764,0.7866666666666666,0.7781818181818181,0.8035978835978835,0.4553297568003451,0.7170979198376458,0.7497928661240156,0.7170979198376458,0.03269494628636982,False,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__l1_ratio': 0.5, 'classifier__C': 1.0}"
german,MLP,0.6933333333333334,0.6821898821898822,0.6933333333333334,0.6866402116402117,0.7134391534391534,0.3763916722567228,0.6984068627450981,0.7060171548328088,0.6984068627450981,0.0076102920877106905,False,"{'classifier__patience': 15, 'classifier__max_epochs': 100, 'classifier__learning_rate_init': 0.01, 'classifier__hidden_layer_sizes': (50,), 'classifier__alpha': 0.01}"
german,Random Forest,0.7533333333333333,0.746969696969697,0.7533333333333333,0.7145268233875829,0.7999999999999999,0.38964562895597377,0.7014330524632512,0.8436703483432455,0.7014330524632512,0.14223729587999434,True,"{'classifier__oob_score': True, 'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 15, 'classifier__bootstrap': True}"
