dataset,model,accuracy,precision,recall,f1,roc_auc,cv_f1_score,val_f1_score,train_f1,val_f1,overfitting_gap,is_overfitting,best_params
adult,Decision Tree,0.8431934493346981,0.8350318581998512,0.8431934493346981,0.832800072636972,0.8737896007688598,0.6267261469382863,0.8405147823507746,0.8381553697858398,0.8405147823507746,-0.002359412564934771,False,"{'classifier__min_samples_split': 50, 'classifier__min_samples_leaf': 10, 'classifier__max_features': None, 'classifier__max_depth': 5, 'classifier__criterion': 'entropy'}"
adult,Logistic Regression,0.836028659160696,0.8273457496806677,0.836028659160696,0.8284462319503765,0.8857099526248893,0.6214323012126586,0.8368271678309406,0.8312327389432901,0.8368271678309406,-0.005594428887650493,False,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__l1_ratio': 0.9, 'classifier__C': 0.1}"
adult,MLP,0.8388945752302969,0.8300294097839335,0.8388945752302969,0.829576195740783,0.8888617593168301,0.6228235318179765,0.8424999636490922,0.8312094830927234,0.8424999636490922,-0.011290480556368832,False,"{'classifier__patience': 20, 'classifier__max_epochs': 300, 'classifier__learning_rate_init': 0.0001, 'classifier__hidden_layer_sizes': (50, 25), 'classifier__alpha': 0.01}"
adult,Random Forest,0.857727737973388,0.8520034478633286,0.857727737973388,0.8484634851407782,0.9159857526186533,0.6575906249216976,0.8570939182652099,0.8595351761578413,0.8570939182652099,0.0024412578926313877,False,"{'classifier__oob_score': True, 'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 15, 'classifier__bootstrap': True}"
